card_id,ind,url,scrap_date
104572570,1,https://avcdn.av.by/advertbig/0002/0261/0770.jpg,2023-05-27 07:49:40
104572570,2,https://avcdn.av.by/advertbig/0002/0261/0775.jpg,2023-05-27 07:49:40
104572570,3,https://avcdn.av.by/advertbig/0002/0261/0780.jpg,2023-05-27 07:49:40
104572570,4,https://avcdn.av.by/advertbig/0002/0261/0785.jpg,2023-05-27 07:49:40
104572570,5,https://avcdn.av.by/advertbig/0002/0261/0790.jpg,2023-05-27 07:49:40
104572570,6,https://avcdn.av.by/advertbig/0002/0261/0795.jpg,2023-05-27 07:49:40
104572570,7,https://avcdn.av.by/advertbig/0002/0261/0800.jpg,2023-05-27 07:49:40
104572570,8,https://avcdn.av.by/advertbig/0002/0261/0805.jpg,2023-05-27 07:49:40
104572570,9,https://avcdn.av.by/advertbig/0002/0586/9195.jpg,2023-05-27 07:49:40
104572570,10,https://avcdn.av.by/advertbig/0002/0586/9210.jpg,2023-05-27 07:49:40
104309289,1,https://avcdn.av.by/advertbig/0001/9851/1847.jpg,2023-05-27 07:49:41
104309289,2,https://avcdn.av.by/advertbig/0001/9851/1857.jpg,2023-05-27 07:49:41
104309289,3,https://avcdn.av.by/advertbig/0001/9851/1852.jpg,2023-05-27 07:49:41
104309289,4,https://avcdn.av.by/advertbig/0001/9851/3837.jpg,2023-05-27 07:49:41
104309289,5,https://avcdn.av.by/advertbig/0001/9851/3892.jpg,2023-05-27 07:49:41
104309289,6,https://avcdn.av.by/advertbig/0001/9851/3882.jpg,2023-05-27 07:49:41
104309289,7,https://avcdn.av.by/advertbig/0001/9851/3857.jpg,2023-05-27 07:49:41
104309289,8,https://avcdn.av.by/advertbig/0001/9851/3832.jpg,2023-05-27 07:49:41
104309289,9,https://avcdn.av.by/advertbig/0001/9851/5167.jpg,2023-05-27 07:49:41
104309289,10,https://avcdn.av.by/advertbig/0001/9851/5187.jpg,2023-05-27 07:49:41
