card_id,category,item,scrap_date
104309289,Экстерьер,легкосплавные диски,2023-05-26 15:02:01
104309289,Экстерьер,фаркоп,2023-05-26 15:02:01
104309289,Системы безопасности,сигнализация,2023-05-26 15:02:01
104309289,Интерьер,тёмный,2023-05-26 15:02:01
104309289,Интерьер,ткань,2023-05-26 15:02:01
104309289,Комфорт,автозапуск двигателя,2023-05-26 15:02:01
104309289,Комфорт,передние электро-стеклоподъёмники,2023-05-26 15:02:01
104309289,Обогрев,сидений,2023-05-26 15:02:01
104309289,Обогрев,зеркал,2023-05-26 15:02:01
104309289,Климат,кондиционер,2023-05-26 15:02:01
104309289,Мультимедиа,AUX или iPod,2023-05-26 15:02:01
104309289,Мультимедиа,CD или MP3,2023-05-26 15:02:01
104309289,Мультимедиа,USB,2023-05-26 15:02:01
104309289,Фары,противотуманные,2023-05-26 15:02:01
103933657,Интерьер,комби,2023-05-26 15:02:02
103933657,Интерьер,ткань,2023-05-26 15:02:02
104572570,Экстерьер,легкосплавные диски,2023-05-26 15:02:02
104572570,Экстерьер,рейлинги на крыше,2023-05-26 15:02:02
104572570,Системы безопасности,ABS,2023-05-26 15:02:02
104572570,Системы безопасности,ESP,2023-05-26 15:02:02
104572570,Системы безопасности,антипробуксовочная,2023-05-26 15:02:02
104572570,Системы безопасности,иммобилайзер,2023-05-26 15:02:02
104572570,Системы безопасности,сигнализация,2023-05-26 15:02:02
104572570,Подушки,передние,2023-05-26 15:02:02
104572570,Подушки,боковые,2023-05-26 15:02:02
104572570,Подушки,задние,2023-05-26 15:02:02
104572570,Системы помощи,датчик дождя,2023-05-26 15:02:02
104572570,Системы помощи,камера заднего вида,2023-05-26 15:02:02
104572570,Системы помощи,контроль мертвых зон на зеркалах,2023-05-26 15:02:02
104572570,Интерьер,тёмный,2023-05-26 15:02:02
104572570,Интерьер,комбинированные материалы,2023-05-26 15:02:02
104572570,Интерьер,панорамная крыша,2023-05-26 15:02:02
104572570,Комфорт,автозапуск двигателя,2023-05-26 15:02:02
104572570,Комфорт,круиз-контроль,2023-05-26 15:02:02
104572570,Комфорт,управление мультимедиа с руля,2023-05-26 15:02:02
104572570,Комфорт,электрорегулировка сидений,2023-05-26 15:02:02
104572570,Комфорт,передние электро-стеклоподъёмники,2023-05-26 15:02:02
104572570,Комфорт,задние электро-стеклоподъёмники,2023-05-26 15:02:02
104572570,Обогрев,сидений,2023-05-26 15:02:02
104572570,Обогрев,лобового стекла,2023-05-26 15:02:02
104572570,Обогрев,зеркал,2023-05-26 15:02:02
104572570,Обогрев,руля,2023-05-26 15:02:02
104572570,Климат,климат-контроль,2023-05-26 15:02:02
104572570,Мультимедиа,AUX или iPod,2023-05-26 15:02:02
104572570,Мультимедиа,Bluetooth,2023-05-26 15:02:02
104572570,Мультимедиа,CD или MP3,2023-05-26 15:02:02
104572570,Мультимедиа,USB,2023-05-26 15:02:02
104572570,Мультимедиа,мультимедийный экран,2023-05-26 15:02:02
104572570,Фары,противотуманные,2023-05-26 15:02:02
104572570,Фары,светодиодные,2023-05-26 15:02:02
104673128,Экстерьер,легкосплавные диски,2023-05-26 15:02:04
